Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
BPK.AUD.SUBN,Fiscal Indicators,BPK Audit Report on Sub-National Budget,,,,Annual,,Official data from Indonesia Audit Board,,,,"Data is available from 2005 to 2017. 
Below are the notes for the audit report (Coded by the number in the initial explanation):
(1) -- WTP: Wajar Tanpa Pengecualian (Unqualified Opinion)
(2) -- WDP: Wajar Dengan Pengecualian (Qualified Opinion)
(3) -- TW: Tidak Wajar (Adverse Opinion)
(4) -- TMP: Tidak Memberikan Pendapat (Disclaimer)
(5) -- WTPDPP: Wajar Tanpa Pengecualian Dengan Paragraf Penjelasan (Unqualified Opinion with Explanatory Paragraph)
(6) -- * New proliferated district (It is not mandatory to prepare and report sub-national budget)
(7) -- ** Audit report is in progress
(8) -- ***Audit process is being delayed due to force major (Wasior Flood)","BPK - Indonesia Audit Board, Report",,,,,,
DAK.AGR.CR,Fiscal Indicators,Total Specific Allocation Grant for Agriculture (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and agriculture sector is available from 2005","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.EDU.CR,Fiscal Indicators,Total Specific Allocation Grant for Education (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and education sector is available from 2003","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.ENVR.CR,Fiscal Indicators,Total Specific Allocation Grant for Environment (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and environment sector is available from 2006","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.FRST.CR,Fiscal Indicators,Total Specific Allocation Grant for Forestry (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and forestry sector is available from 2008","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.FSH.CR,Fiscal Indicators,Total Specific Allocation Grant for Fishery (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and fishery sector is available from 2004","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.GOVT.CR,Fiscal Indicators,Total Specific Allocation Grant for Government Sector (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and government sector is available from 2003","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.HE.BSRV.CR,Fiscal Indicators,Total Specific Allocation Grant for Health Sector (Subsect: Basic Services) (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and  Health subsector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.HE.CR,Fiscal Indicators,Total Specific Allocation Grant for Health (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and health sector is available from 2003","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.HE.RSRV.CR,Fiscal Indicators,Total Specific Allocation Grant for Health Sector (Subsect: Recommended Services) (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and  Health subsector is available from 2009","Ministry of Finance, Ministry of Finance Regulation",,,,,,
DAK.INFR.CR,Fiscal Indicators,Total Specific Allocation Grant for Infrastructure (in IDR Billion),,,IDR Billion,Annual,,Official data from Ministry of Finance,,,,"Allocation data. The data is only available since 2003, and infrastructure sector is available from 2003","Ministry of Finance, Ministry of Finance Regulation",,,,,,
